cell_id,longitude,latitude,trees,shrubland,grassland,cropland,built_up,bare_sparse_vegetation,snow_ice,permanent_water_bodies,herbaceous_wetland,mangroves,moss_lichen,fraction_sum,valid_pixel_count
NGA_5km_028581,10.395666099363144,10.745848827131825,0.0013547099800469073,0.18002940455770644,0.08331291350159274,0.7308327790807575,0.003931109321944902,0.0005390835579514825,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,285670
NGA_5km_006742,5.095605923057967,10.657579726196671,0.007204116638078902,0.26183358420555186,0.18257779955893164,0.5479189274337523,0.0003745580564987573,9.101410718661392e-05,0.0,0.0,0.0,0.0,0.0,1.0,285670
NGA_5km_034021,12.057549374984259,9.507825934149325,0.01076555023923445,0.03833331008411567,0.42269518880689666,0.40020505809979495,0.0015937338708552457,0.07001269407284445,0.0,0.04075355364291992,0.01564091118333868,0.0,0.0,1.0,286748
NGA_5km_027797,10.171087278333262,8.354195057619792,0.007462920354906417,0.46497753117962176,0.17676400254797467,0.3507676991997549,2.436587802441461e-05,3.4808397177735157e-06,0.0,0.0,0.0,0.0,0.0,1.0,287287
NGA_5km_012583,6.3532473208252975,12.812313659417555,0.001467299674795601,0.9217710589247797,0.07625725713721368,0.0004938027751715965,0.0,1.0581488039391353e-05,0.0,0.0,0.0,0.0,0.0,1.0,283514
NGA_5km_027029,9.901592693097406,12.50554643774801,0.0003907721446349801,0.04304830436573456,0.2144775798882603,0.7333983446751134,0.007963302623102027,0.0007216963031546929,0.0,0.0,0.0,0.0,0.0,1.0,284053
NGA_5km_035229,12.551622781249995,8.75393927820405,0.0002436587802441461,0.009165050976897666,0.025897447500234958,0.950036026691079,0.005370935684524535,0.00928688036701974,0.0,0.0,0.0,0.0,0.0,1.0,287287
NGA_5km_023659,8.913445880565934,8.087469967125001,0.04119921889956733,0.5792012865183597,0.34488159923699996,0.03471441450535527,0.0,3.4808397177735157e-06,0.0,0.0,0.0,0.0,0.0,1.0,287287
NGA_5km_006813,5.140521687263943,5.545583086622772,0.002980228726497383,0.0,0.00015922244067233406,0.0,0.0,0.0016960651289009499,0.0,0.9829874283499017,0.0002526790906321823,0.011924376263395453,0.0,1.0,288904
NGA_5km_020252,8.104962124858364,6.126459090372127,0.2992873615036499,0.09627728746553847,0.3569122466318728,0.22371300261820956,0.0227766892653408,0.0008669568082118149,0.0,0.0,0.00016645570717666847,0.0,0.0,1.0000000000000002,288365
NGA_5km_022137,8.50920400271215,12.11059669188621,0.00020066677697471951,0.011057795552238492,0.065174456879526,0.8449338679753426,0.06876181557667055,0.009871397239247605,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,284053
NGA_5km_004740,4.60153251679223,8.354195057619792,0.045887909999408255,0.23077619244866632,0.3893771733492988,0.329788678220734,0.003933348881084073,0.00023669710080859906,0.0,0.0,0.0,0.0,0.0,1.0,287287
NGA_5km_009525,5.724426621941632,9.507825934149325,0.047606260549332514,0.20549751000878821,0.15920599271834504,0.5873693975197735,0.00011857101008551062,2.441167854701689e-05,0.0,0.0,0.00017785651512826594,0.0,0.0,1.0,286748
NGA_5km_016656,7.296478369150795,5.277289845048815,0.906126594873602,0.00070825689341252,0.031159848398475694,0.0,0.05392771633793182,0.0036414769056429073,0.0,0.004436106590935003,0.0,0.0,0.0,0.9999999999999999,289443
NGA_5km_006923,5.140521687263943,10.436795425212544,0.1259499177174722,0.2762037532013319,0.09349810802595306,0.5034712395487214,0.00037734662431998994,0.0004996348822014681,0.0,0.0,0.0,0.0,0.0,1.0,286209
NGA_5km_034760,12.327043960220115,11.583090087026163,0.0008925057626356327,0.014515516950581885,0.0582658683308034,0.9205002248833417,0.00582588407263732,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,284592
NGA_5km_012708,6.398163085031274,8.975835245678367,0.0849386918130205,0.17138393293065687,0.054929764113437585,0.6836699820051055,0.005011368867437611,6.626027034190299e-05,0.0,0.0,0.0,0.0,0.0,1.0,286748
NGA_5km_036369,13.000780423309754,12.022750000660956,0.0,0.04731686062854894,0.9217651936807781,0.03083010063529544,0.0,0.0,0.0,0.0,8.78450553775229e-05,0.0,0.0,1.0,284592
NGA_5km_020374,8.104962124858364,11.539085593665181,0.009265896441221116,0.541223927587564,0.3916624501040085,0.04964299769494575,0.0003478664192949907,0.00785686175296565,0.0,0.0,0.0,0.0,0.0,1.0,284592
NGA_5km_007040,5.185437451469919,7.286258099677667,0.20623918617498072,0.0020637468470534283,0.08837283636641582,0.003745318352059925,0.6986234739043727,0.0009554383551173279,0.0,0.0,0.0,0.0,0.0,1.0,287826
NGA_5km_005466,4.7811955736161345,9.773514306507737,0.297460946371358,0.5064620609414798,0.011453168838156731,0.18460286014765434,2.0963701351110552e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,286209
NGA_5km_021410,8.37445671009422,5.187832678001753,0.9526832442610694,0.0056593193586797,0.033530169191150004,3.4613574059203055e-06,0.001972973721374574,0.006150832110320383,0.0,0.0,0.0,0.0,0.0,1.0,288904
NGA_5km_007499,5.275268979881871,10.878204040436612,0.0016623937768955321,0.010293514209258201,0.05279327747596719,0.9318804339058188,0.001739551293966633,0.0016273221782268502,0.0,3.5071598668682113e-06,0.0,0.0,0.0,1.0,285131
NGA_5km_006293,5.005774394646014,6.9296941004523935,0.9951970592825066,0.0029962027291800322,0.0008426820175818841,0.0,0.0009640559707315381,0.0,0.0,0.0,0.0,0.0,0.0,1.0,288365
NGA_5km_024986,9.272771994213741,11.89092622418267,0.0005692359588463484,0.014399561477483556,0.15278363411480295,0.8194011075504583,0.011830972058244786,0.0003443526170798898,0.0,7.378984651711924e-05,0.0005973463765671558,0.0,0.0,1.0,284592
NGA_5km_023124,8.778698587948005,6.9296941004523935,0.11738248400464689,0.10778007039689283,0.0918766147070553,0.666613493315763,0.016187817522931008,0.00015952005271097395,0.0,0.0,0.0,0.0,0.0,1.0,288365
